millis, accelx, accely, accelz, v_x, v_y, v_z, p_x, p_y, p_z
0.034, -0.0035766661, 0.0067121238, 0.033462524, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, -0.002380371, 0.0073102713, 0.028079033, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, 0.0018066466, 0.008506559, 0.033462524, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.038, -0.0011840761, 0.007908411, 0.02508831, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.038, 6.1035156E-4, 0.0025251135, 0.026883125, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0024047792, 0.001328826, 0.023293495, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0017822385, -0.0058489144, 0.028676987, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, 0.0018066466, -0.0046526194, 0.029873848, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, 0.004199207, -0.0016618967, 0.025686264, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.004199207, 0.0025251135, 0.023293495, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.037, 0.004199207, -4.6560913E-4, 0.020302773, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.004199207, -0.0040544793, 0.016116142, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0018066466, -0.005250767, 0.020302773, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, 0.0047973692, -0.0082414895, 0.01731205, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.005395502, -0.0034563318, 0.01731205, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.037, 0.004199207, 0.001926966, 0.0155181885, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, 0.0071899295, 0.0025251135, 0.011929512, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.004199207, 1.3253093E-4, 0.009536743, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 0.004199207, -0.0016618967, 0.010732651, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.004199207, 1.3253093E-4, 0.0059480667, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0030029118, -0.0010637566, 0.0047512054, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, 0.0024047792, -0.0016618967, 0.008339882, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 0.0018066466, -0.0028581917, 0.01312542, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0024047792, -0.0076433495, 0.011330605, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0018066466, -0.0064470544, 0.022695541, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0024047792, -0.0046526194, 0.023892403, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0030029118, -4.6560913E-4, 0.028079033, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.004199207, 0.001328826, 0.033462524, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 0.0018066466, 0.0025251135, 0.02927494, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0018066466, -4.6560913E-4, 0.03166771, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, -0.0011840761, 1.3253093E-4, 0.032265663, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.038, 6.1035156E-4, 0.0025251135, 0.031069756, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.038, 6.1035156E-4, -4.6560913E-4, 0.037649155, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0012084842, -4.6560913E-4, 0.038846016, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.039, 0.0047973692, -0.0022600442, 0.03944397, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 6.1035156E-4, -0.008839637, 0.04482746, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0017822385, -0.0046526194, 0.04183674, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0036010742, -0.0046526194, 0.04123783, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0012084842, -0.0028581917, 0.045425415, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.004199207, -4.6560913E-4, 0.033462524, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.007788092, 1.3253093E-4, 0.02748108, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.037, 0.0036010742, 0.001328826, 0.02090168, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, 0.0047973692, -0.0016618967, 0.020302773, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 6.1035156E-4, -0.0028581917, 0.025686264, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.037, -0.0041747987, 1.3253093E-4, 0.031069756, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, -0.0017822385, -0.0022600442, 0.032265663, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0041747987, -0.0016618967, 0.03824711, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0029785335, -4.6560913E-4, 0.034658432, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.0029785335, -0.0034563318, 0.031069756, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, -0.007763684, -0.0040544793, 0.02090168, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.037, -0.007763684, -0.0016618967, 0.026284218, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.0071655214, -4.6560913E-4, 0.02927494, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.038, -0.0029785335, 0.003721401, 0.031069756, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.0011840761, 7.3067844E-4, 0.035256386, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.009558111, -0.0010637566, 0.028676987, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.010156244, -0.0022600442, 0.022695541, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.0119507015, -0.0076433495, 0.023892403, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, -0.014941424, -0.009437777, 0.025686264, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.009558111, -0.0064470544, 0.019106865, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0041747987, -0.0076433495, 0.020302773, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.004772961, -0.0082414895, 0.029873848, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0024047792, -0.007045202, 0.02927494, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0035766661, -0.011232212, 0.038846016, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
